season,team,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2011-12,Detroit Pistons,0.379,-5.0,-5.3,-6.2,0.448,97.8,100.0,100.0,0.51,104.0
2011-12,Golden State Warriors,0.348,-3.4,-3.6,-3.0,0.472,103.1,103.9,103.9,0.539,106.0
2011-12,Houston Rockets,0.515,0.2,0.2,0.6,0.497,102.7,104.2,104.2,0.529,102.1
2011-12,Indiana Pacers,0.636,3.3,3.6,3.1,0.521,103.5,105.5,105.5,0.526,100.4
2011-12,LA Clippers,0.606,2.7,2.8,2.2,0.517,105.2,107.5,107.5,0.533,102.9
2011-12,Los Angeles Clippers,0.606,2.7,2.8,2.2,0.517,105.2,107.5,107.5,0.533,102.9
2011-12,Los Angeles Lakers,0.621,1.3,1.5,1.7,0.524,103.3,104.5,104.5,0.534,101.7
2011-12,Memphis Grizzlies,0.621,2.2,2.2,2.1,0.514,101.0,102.8,102.8,0.515,98.9
2011-12,Miami Heat,0.697,6.4,6.4,7.2,0.553,104.3,105.6,105.6,0.549,97.1
2011-12,Milwaukee Bucks,0.47,0.4,0.3,0.0,0.503,102.4,104.5,104.5,0.521,102.4
2011-12,Minnesota Timberwolves,0.394,-2.2,-2.3,-2.2,0.483,101.5,103.1,103.1,0.524,103.6
2011-12,New Jersey Nets,0.333,-6.3,-6.5,-7.2,0.448,99.7,101.8,101.8,0.516,106.9
2011-12,New Orleans Hornets,0.318,-4.0,-4.2,-4.0,0.482,98.3,99.9,99.9,0.517,102.3
2011-12,New Orleans Pelicans,0.318,-4.0,-4.2,-4.0,0.482,98.3,99.9,99.9,0.517,102.3
2011-12,New York Knicks,0.545,3.2,3.4,3.0,0.52,101.4,103.5,103.5,0.533,98.4
2011-12,Oklahoma City Thunder,0.712,6.3,6.4,7.2,0.542,107.1,108.4,108.4,0.567,100.0
2011-12,Orlando Magic,0.561,0.6,0.9,0.7,0.493,102.4,104.0,104.0,0.533,101.7
2011-12,Philadelphia 76ers,0.53,4.6,4.7,5.1,0.532,101.7,102.7,102.7,0.511,96.6
2011-12,Phoenix Suns,0.5,-0.1,-0.3,-0.2,0.502,103.5,105.2,105.2,0.536,103.8
2011-12,Portland Trail Blazers,0.424,-0.9,-0.7,-0.9,0.494,102.8,104.4,104.4,0.531,103.7
2011-12,Sacramento Kings,0.333,-5.8,-5.9,-5.8,0.451,101.0,102.9,102.9,0.51,106.8
2011-12,San Antonio Spurs,0.758,7.7,7.6,7.9,0.546,108.5,110.0,110.0,0.562,100.6
2011-12,Toronto Raptors,0.348,-3.9,-3.6,-3.0,0.478,98.5,99.6,99.6,0.518,101.5
2011-12,Utah Jazz,0.545,0.5,0.7,0.2,0.509,103.7,105.5,105.5,0.525,103.6
2011-12,Washington Wizards,0.303,-5.0,-5.1,-6.0,0.46,97.8,100.0,100.0,0.508,103.8
2012-13,Atlanta Hawks,0.537,0.3,0.4,0.9,0.509,102.7,103.7,103.7,0.546,101.8
2012-13,Boston Celtics,0.506,-0.5,-0.2,0.7,0.507,101.1,102.2,102.2,0.542,100.4
2012-13,Brooklyn Nets,0.598,2.0,2.0,1.4,0.509,105.0,106.9,106.9,0.536,103.6
2012-13,Charlotte Hornets,0.256,-9.9,-9.9,-10.6,0.438,98.3,100.4,100.4,0.507,108.9
2012-13,Charlotte Bobcats,0.256,-9.9,-9.9,-10.6,0.438,98.3,100.4,100.4,0.507,108.9
2012-13,Chicago Bulls,0.549,0.5,0.3,0.1,0.514,100.4,102.4,102.4,0.512,100.3
2012-13,Cleveland Cavaliers,0.293,-5.0,-5.0,-6.1,0.45,100.8,103.2,103.2,0.514,106.9
2012-13,Dallas Mavericks,0.5,-0.6,-0.6,-0.4,0.502,103.6,104.7,104.7,0.544,104.0
2012-13,Denver Nuggets,0.695,5.1,5.2,5.6,0.538,107.6,109.3,109.3,0.549,102.0
2012-13,Detroit Pistons,0.354,-4.5,-4.3,-4.8,0.467,100.9,102.7,102.7,0.521,105.6
2012-13,Golden State Warriors,0.573,0.9,0.9,1.7,0.502,104.2,105.1,105.1,0.545,102.6
2012-13,Houston Rockets,0.549,3.5,3.6,3.3,0.51,106.7,108.8,108.8,0.564,103.5
2012-13,Indiana Pacers,0.605,4.4,4.4,5.0,0.537,101.6,103.4,103.4,0.521,96.6
2012-13,LA Clippers,0.683,6.9,7.0,6.7,0.548,107.7,109.8,109.8,0.557,101.0
2012-13,Los Angeles Clippers,0.683,6.9,7.0,6.7,0.548,107.7,109.8,109.8,0.557,101.0
2012-13,Los Angeles Lakers,0.549,1.1,1.2,2.0,0.513,105.6,107.0,107.0,0.548,103.6
2012-13,Memphis Grizzlies,0.683,4.5,4.6,4.2,0.531,101.7,103.6,103.6,0.514,97.4
2012-13,Miami Heat,0.805,8.2,8.5,9.9,0.564,110.3,111.4,111.4,0.588,100.5
2012-13,Milwaukee Bucks,0.463,-1.7,-1.6,-1.4,0.488,100.9,102.5,102.5,0.51,102.3
2012-13,Minnesota Timberwolves,0.378,-2.2,-2.5,-2.8,0.494,100.1,101.8,101.8,0.516,102.9
2012-13,New Jersey Nets,0.598,2.0,2.0,1.4,0.509,105.0,106.9,106.9,0.536,103.6
2012-13,New Orleans Hornets,0.329,-4.4,-4.3,-5.0,0.464,102.7,104.5,104.5,0.528,107.6
2012-13,New Orleans Pelicans,0.329,-4.4,-4.3,-5.0,0.464,102.7,104.5,104.5,0.528,107.6
2012-13,New York Knicks,0.659,4.5,4.7,5.1,0.512,108.6,109.8,109.8,0.55,103.5
2012-13,Oklahoma City Thunder,0.732,9.9,9.7,11.0,0.57,110.2,111.0,111.0,0.58,99.2
2012-13,Orlando Magic,0.244,-7.4,-7.5,-7.8,0.459,98.9,100.9,100.9,0.514,106.7
2012-13,Philadelphia 76ers,0.415,-3.7,-3.6,-3.4,0.474,99.5,101.0,101.0,0.509,103.0
2012-13,Phoenix Suns,0.305,-6.7,-6.8,-7.5,0.458,98.2,100.2,100.2,0.512,105.7
2012-13,Portland Trail Blazers,0.402,-3.4,-3.4,-4.2,0.468,102.7,104.5,104.5,0.536,106.9
